0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,new_column
4216,3935,4497,4497,4216,3372,3935,3935,5059,5340,5059,4778,4778,4497,4216,4497,3935,5621,4216,3091,4216,3372,4778,4497,4216,5059,3935,4216,4497,-8432,4216,3372,3935,5059,-11524,5059,-6464,4216,5902,4778,4216,3935,4497,4497,4216,4497,4497,-7308,-7589,4216,4778,3935,5059,4497,4497,-3372,4497,3935,-5059,3935,3372,3091,3654,4216,-5621,3091,4778,6464,3372,4497,5059,3372,-6183,3935,3935,4778,4216,-4216,3935,3935,3935,3654,4778,-8151,-4778,-8994,-6745,-6183,-3935,4216,-5902,5340,-7870,5059,-8151,-6464,3935,4778,4778,3935,-3935,-7026,5059,-1967,3935,4216,-8713,4778,-5059,3372,-6464,4216,-5902,4497,3935,3091,4778,-7870,4216,5059,4778,-5902,-4497,3654,-4778,3654,3935,-3654,3372,-9275,3091,3935,3654,4497,2529,3091,4778,-2529,3935,-7870,-7589,5059,3935,3935,-6464,-5059,-4778,4216,-2810,-6183,-3935,-3935,4216,3091,5621,3372,2810,1967,3935,-8994,4216,4497,4216,-3935,4497,3654,5340,-8713,5059,3935,2810,3654,3935,4778,-5340,-5621,-4778,-4778,-3091,4497,5621,-5340,4216,-6464,4216,4497,4497,-7870,3935,-5340,-3935,-4778,-5621,4497,3935,-5059,4216,5340,4216,-5902,0
3935,3935,4497,4216,4216,3091,2810,3372,3372,4497,3935,5340,4497,4497,3935,4216,3654,4778,4497,2810,4216,3091,4778,3654,3091,4216,3935,3372,3935,-6745,3372,3935,4216,4497,-1686,4497,-3654,3091,2810,3372,2529,4216,3935,4216,4216,4497,1967,-5059,-7026,2529,3935,2810,4216,3935,1967,-1686,3935,3091,-7026,3935,2810,562,3372,5621,-5621,3372,4216,3091,2529,3372,5902,3654,-6183,3935,1686,4778,3654,-6183,2810,2248,3935,2248,4778,-6464,-3654,-7589,-1124,-7870,-3372,3372,-6745,4778,-4497,4216,-3091,-3935,3091,2248,4778,3372,-2248,-5621,4497,-2248,3372,4497,-2248,3372,0,2248,-6183,4497,-5902,3372,3372,3372,3654,-1405,2248,2810,4778,-5902,-7308,3654,-6464,2248,4497,-5902,4216,-3935,3935,4778,1967,2248,1967,4497,3091,-562,4778,-6745,-5059,4778,4778,5059,-1686,-2810,-5059,4497,-4778,-7589,-5902,-4497,3654,3372,2529,3935,-562,2810,4216,-3372,5059,3654,4216,-2248,4216,1686,5059,-7308,3372,3091,1967,4216,3091,4497,-7308,-7308,-5902,-6745,-4778,4778,5340,-6183,3935,-7870,2810,4216,3091,-2810,2248,-4216,-5340,-8151,-281,1967,4216,-8713,1686,5340,3935,-1124,0
3935,5059,4778,3935,4497,3935,3372,3935,4778,5059,4778,5059,4778,4778,4216,5059,3654,5340,5059,3091,4497,3654,4778,3935,4216,4778,3935,3935,4497,-7589,3654,3091,4216,4497,-8713,5340,-5902,3654,4216,4497,4216,4216,4778,4216,3654,4497,3935,-6745,-7870,4216,4216,4216,5340,4216,4216,-2529,4216,4778,-6464,3935,2810,3091,3654,5902,-5340,3372,4497,5059,3091,4778,4778,3372,-5059,4216,4216,4497,3935,-5059,4216,2529,3654,2248,4497,-8994,-4497,-9275,-7589,-7308,-3091,3935,-6464,5340,-7870,5059,-7589,-9837,3935,5059,4497,4216,-7870,-7308,5340,-1967,3935,4778,-8432,3091,-5059,3654,-7308,4497,-6183,3935,3935,3091,4216,-8994,3935,4497,5059,-6183,-5340,3654,-6464,3091,3654,-5621,3654,-7589,3654,4216,4497,4497,3091,3935,3654,-2810,1405,-7589,-6745,7870,3654,4778,-6464,-7308,-5059,4216,-3091,-5621,-5059,-3372,3372,3091,4778,5059,3091,2529,4778,-8432,3372,4778,4216,-1967,4497,4216,4778,-7589,4778,3654,2248,3935,4497,4497,-7026,-7026,-4778,-5902,-2529,3935,4497,-4497,4216,-5902,3935,3654,4778,-7870,4216,-6745,-3654,-5621,-4778,13491,3372,-7589,4497,6183,4216,-6745,0
3935,3654,4497,4216,4216,3654,3654,3935,4778,4778,4216,5340,4778,5059,4216,4216,3372,5059,4497,3091,4497,3372,4497,3935,3091,4778,3372,4497,3654,-9275,3935,3372,4497,4778,-8713,4497,-6464,3935,4497,4497,2248,3935,4216,4216,3935,4216,3935,-7026,-7870,4216,4778,3935,3935,4778,3935,-2810,4778,4497,-6183,4497,3372,3091,3935,4216,-6183,3372,4216,5059,3091,3935,6183,4497,-5902,3654,4216,4497,3935,-4778,3935,3935,3372,4216,5340,-8713,-5059,-9275,-6745,-7308,-3091,3935,-7026,4497,-8151,4216,-8151,-7308,3935,4778,5059,3372,-6745,-7026,5621,-5621,3372,4216,-8151,3372,-4497,3654,-7308,4497,-7308,3654,3654,3654,4497,-7870,3935,5059,5059,-5902,-6745,3935,-7870,2529,4497,-4778,4778,-7308,3654,3372,3372,3654,3935,3372,4497,-3091,4216,-7870,-8713,5059,4497,4497,-7308,-6464,-4778,4216,-4216,-7589,-5621,-4497,3654,3091,5059,4216,3091,4216,4497,-8432,5059,4497,4497,-1967,4497,3935,4778,-5340,3935,2810,2810,4216,3091,5059,-7026,-7026,-5340,-6745,-3654,4778,5621,-6464,4497,-7870,3654,5059,3935,-6464,3654,-6745,-3935,-6464,-3091,4216,3935,-7308,4497,6183,4778,-6745,0
3935,3935,4497,3935,4778,3654,3935,3935,4778,5059,4778,5059,5059,2810,3654,5059,3654,5059,5059,2810,4497,3654,4778,4497,3935,4497,4216,3935,3935,-7026,4216,3654,4216,4497,-8151,4778,-6464,4216,4778,4497,3654,3935,3654,3935,4497,5059,3935,-7026,-8994,3372,5059,2529,4497,4216,4216,-2529,4778,4216,-5902,4216,3372,3091,3372,4497,-6183,3654,5059,5059,2810,3091,4497,4497,-4216,3935,4497,4778,3935,-4778,3654,5059,3935,2810,4497,-8994,-3654,-8713,-4216,-6745,-2529,4497,-4778,3372,-7589,4497,-7589,-8713,4216,5059,4778,3372,-5902,-7308,4778,-1405,3654,3654,-8151,3654,-6183,5059,-6464,4216,-7026,4216,3654,3372,4216,-9275,4216,5059,5059,-6183,-7308,5340,-7870,3091,4497,-4778,3654,-7308,3935,3935,4216,3654,3935,3372,5059,-2810,4497,-7589,-9275,5340,4497,4778,-7308,-7589,-3091,4216,-3091,-7026,-5340,-4216,3091,2810,5340,3372,2529,2529,3091,-6745,4778,4778,3654,-2248,4497,3654,4497,-9275,4497,3372,3654,4216,3654,4497,-6464,-6745,-10962,-7308,-2248,4778,3654,-6745,4216,-7870,3935,4216,3935,-7870,3935,-5902,-3654,-7026,-6464,2810,4216,-8151,2810,7026,4497,-7026,0
3654,3654,4497,3654,4778,3935,3654,4216,4778,5621,5059,5340,5059,3935,4216,3654,3372,5059,5059,2810,4497,3654,4497,4216,3654,4778,4216,4497,3935,-4778,4497,3372,4497,5059,-7026,4216,-5059,3654,4497,4778,4216,3935,4497,3935,3935,4497,3935,-7308,-7870,3654,3935,4216,5621,5059,4497,-2810,4778,4216,-4497,4497,3372,3091,4216,4216,-5902,3654,4497,5059,2810,2810,3372,3654,-5340,3935,4778,4778,3935,-3935,4497,3654,3654,4216,4778,-8432,-2248,-8432,-5340,-7308,-2810,3935,-6745,3654,-6464,4497,-7870,-8432,3935,5059,5059,3372,-5621,-7589,4497,-1405,3372,4216,-7026,3935,-5340,3654,-7026,4497,-7026,3654,3935,3654,5059,-9837,4497,5059,4778,-4216,-5621,3935,-5621,2810,4497,-3091,4216,-7589,3935,3091,4216,4778,3935,4778,4216,-2529,3935,-8432,-6745,4497,3935,4216,-7308,-6745,-2810,3935,-3091,-5902,-4497,-5059,5059,3372,5621,4778,1686,3091,3372,-8151,4216,4778,3654,-3091,4216,3935,3091,-8994,4497,3654,3372,4497,3372,5059,-7026,-6745,-5059,-5902,-3935,4216,3654,-5340,3935,-6745,4216,3654,4497,-7589,3654,-6183,-3654,-4778,-4778,4497,3654,-9275,4497,5902,4497,-7026,0
2810,3372,3372,2810,4216,1686,4497,3091,3654,4778,4778,4216,4497,4778,3091,3935,3654,5340,2529,1405,3091,2248,3935,3091,3654,5059,3091,3654,3654,-5621,4216,2810,3654,3654,-10118,3654,-6183,3935,4497,4497,3654,3091,4497,3091,3935,2810,3654,-4778,-5340,3935,2529,4497,5059,4216,4216,-5059,4497,4216,-2810,4216,3654,2810,3654,1124,-3654,1967,3654,6464,2810,1686,3654,3372,-2248,3935,4497,4497,3654,-562,4216,1405,3091,2248,3654,-3935,-2529,-6183,-4778,-5340,-843,4216,-4216,4778,-5059,2810,-2529,-7308,3372,4778,4778,2810,-3091,-4497,3935,-3091,3372,3654,-5059,3654,-3091,3935,-5621,3935,-3654,3654,3372,2248,5059,-8432,3935,4216,2529,-2248,-2248,1967,-3935,3654,2810,-7308,3091,-4216,3091,3654,4778,4497,3654,3091,4216,-2529,2529,-4778,-5902,4216,2248,1686,-5902,-5621,-2248,2810,281,-1686,-562,-3372,4497,2529,5902,2248,4216,3091,5902,-4778,1967,3372,2529,-3935,3372,3372,3372,-5340,4216,3372,1967,2810,4778,4778,-3372,-4216,-3654,-5340,-1124,3372,3091,-2810,562,-2810,3654,3654,4497,-3935,3935,-4778,-1124,-2248,-5621,3091,3091,-2810,3935,4216,3654,-6183,0
4216,3935,4497,3935,4216,3935,4497,3935,4778,5340,4497,5340,4778,5059,3935,4497,3935,4778,5059,2529,4778,3091,4497,4216,4216,3935,4216,3935,4216,-7308,4497,3372,4216,4216,-8713,4778,-5902,3935,5059,4497,3935,4216,4497,4216,3935,5059,4216,-7026,-8432,3654,4497,4497,5340,4497,4497,-5059,4497,4216,-6464,4216,3091,2810,3935,6183,-6183,3372,5059,4778,3091,4497,5621,3372,-4497,3654,3654,4497,3935,-6183,4216,4778,3935,1405,4778,-8713,-3935,-7870,-7308,-6464,-3091,4216,-5902,4216,-6183,4778,-8151,-7308,4216,5059,4497,3935,-6464,-6745,5059,-1686,3654,4216,-8432,3091,-4216,2529,-5902,4497,-7026,3935,3935,3372,4778,-4216,3935,5059,4497,-5902,-7026,4216,-6745,3091,3935,-5902,4216,-6183,3935,3654,3372,3935,4216,3935,4497,-2529,4497,-7589,-4216,4497,4497,4497,-6745,-7308,-4497,4216,-4216,-6745,-5621,-4497,3372,3091,5059,3935,3372,4778,3091,-6464,5059,4778,3372,-1686,3935,3654,4497,-9275,5059,3654,3372,4216,3372,4216,-7026,-7026,-4778,-5902,-3654,4778,3935,-7026,4216,-8432,4216,4497,5059,-5902,4497,-6464,-5059,-7308,-5621,3091,4216,-9275,4216,6183,4497,-6745,0
4216,4778,5059,3935,4497,3935,3935,3935,4216,5621,5059,5340,4778,5059,4216,4497,3654,5340,4778,3091,4497,3935,4778,4216,3654,5340,4216,3935,4497,-7870,3654,3654,4497,4778,-7589,4216,-6464,3935,4497,4497,4216,3935,4216,3935,4497,4497,3935,-7308,-8432,3654,4497,4497,4778,3935,4216,-2248,4497,4216,-6464,4497,3091,2529,3935,4497,-6464,3654,4497,4497,3654,3654,4216,3372,-5059,4216,4216,5059,3935,-5340,3654,2529,3372,2529,4497,-8994,-4216,-8994,-7589,-6745,7308,4216,-7308,5621,-8151,3935,-7589,-8432,3654,5059,4778,3654,-5340,-7026,5340,-1967,3654,4497,-8151,3935,-4216,3935,-8151,4216,-6464,3935,4216,3654,4497,-8432,2810,4778,5059,-5902,-5902,3935,-5902,3372,3935,-5059,3654,-7589,3372,3372,3935,3654,2810,5340,4497,-2248,4216,-7870,-8713,5340,4778,4497,-1967,-7026,-6183,4216,-3372,-6745,-4778,-5059,4216,1967,4216,3935,2248,3935,2810,-8151,3935,4778,4216,-3654,4216,3654,5340,-8994,4497,3654,1967,4497,3091,4497,-6745,-7308,-5621,-5621,843,4216,3654,-5059,3654,-8151,3372,4216,5059,-7589,4216,-5902,-4778,-5340,-4778,3935,3935,-10680,4216,5340,4497,-6464,0
3654,3654,4497,3372,3935,3654,3654,4216,4497,4216,3935,5059,4778,4216,4216,4497,3935,3935,4216,3372,4216,3654,3654,3654,3654,4778,3935,3654,4497,-8151,4216,3372,3935,4216,-7308,4216,-6464,3935,4216,3935,2810,3935,4497,4497,3654,4497,2810,-7026,-6464,3935,4216,3654,5340,3654,3091,-2810,4216,4497,-6183,3935,2248,1686,2810,4216,-6745,3372,4497,4216,3372,5340,5059,3372,4216,3654,3935,4216,3654,-5902,3372,3091,4216,3091,4778,-5340,-5059,-6464,-5059,-7870,-3372,3935,-6745,5059,-8151,4497,-7589,-6745,4216,5059,4216,2810,-4778,-3935,4497,-9275,3935,4497,-7870,2248,-2810,3091,-7589,3654,-7026,3091,4216,3091,3654,-5902,2810,5059,4778,-5621,-7026,3372,-7026,1686,4497,-5059,4216,-3654,3935,3935,3372,3091,2248,4778,3935,281,4497,-3935,-6745,5059,4497,4778,-2810,-5902,-6464,3654,-6183,-7589,-6464,-4497,4216,3091,4778,3654,1967,3654,3935,-4216,5059,3935,4497,-2529,3935,2529,5340,-8432,4497,0,1967,4497,1686,3654,-7870,-5902,-4778,-7026,-4497,4778,4497,-6464,5059,-5621,2810,3935,3935,-7589,3654,-6464,-5340,-7308,-3372,1967,4216,-8432,2248,5902,4216,-4778,0
